HOTEL_NAME,CATEGORY,COMMUNITY,Parish,ADDRESS,Number of Rooms,Stars,Longitude,Latitude,Date_Visited,Room Rate
Hotel Versalles,Beach Hotel,May Pen,Clarendon,42 Longbridge Rd. May Pen P.O,26,3,-77.88358697,18.5168814,1-Oct-17,
Milk River MineraL Sp,Bed & Breakfast,Milk River,Clarendon,Milk River P.O.,25,2,-77.65670675,18.49632278,1-Jun-17,90
Round Hill Hotel,Beach Hotel,Hopewell,Hanover,Hopewell P.O. Box 64 Montego,25,5,-77.32492091,18.45668283,29-Jun-17,81
Grand Lido (All Inclu,Hotel,Negril,Hanover,"N.M. Boulevard, P.O. Box 88,",106,5,-77.92702595,"18.489067342,",5-Jun-17,120
Hedonism 2 (All Inclu,Hotel,Negril,Hanover,"N.M. Boulevard, P.O. Box 25,",120,5,-77.92247555,18.47015468,15-Nov-17,
Hotel Riu,Hotel,Negril,Hanover,Tropical Bay Bloody Bay Negri,40,4,-77.8974926,18.47606972,22-Jul-17,
Negril Gardens Beach,Hotel,Negril,Hanover,"N.M. Boulevard P.O. Box 3058,",25,3,-77.53779397,18.48487481,21-Sep-17,
Sandals Negril (All I,Hotel,Negril,Hanover,"N.M. Boulevard, P.O. Box 2 Ne",32,3,-77.31367934,18.452956,11-Sep-17,
Calabash Villa,Hotel,Sandy Bay,Hanover,"Tryall Beach, P.O. Box 1206",50,3,-78.33999559,18.33842233,7-Jun-17,100
Round House Villa,Hotel,Sandy Bay,Hanover,Tryall Beach,60,5,-77.32448742,18.46335583,11/17/2017,150
Coo - Yah,Hotel,Tryall,Hanover,"P.O. Box 1206, Montego Bay",25,3,-78.07632373,18.45109963,6/15/2017,
Hill Top Villas,Hotel,Tryall,Hanover,"c/o Tryall Villas, P.O. Box 1",26,3,-77.91597519,18.48622514,10/10/2017,125
Mahogany Hill,Beach Hotel,Tryall,Hanover,"P.O. Box 1206, Montego Bay P.",60,3,-77.82299287,18.5221655,21/06/2017,120
Tryall Golf & Tennis,Hotel,Tryall,Hanover,P.O. Box 1206,66,4,-77.04222765,"18.420575152,",8/7/2017,110
Hotel Four Seasons,Hotel,Kingston 10,Kingston,18 Ruthven Road,75,3,-77.90408323,18.3638987,23/09/2017,120
Terra Nova Hotel,Hotel,Kingston 10,Kingston,17 Waterloo Road,23,3,-77.09129557,"18.40273275,0",5/7/2017,140
Alhambra Inn,Hotel,Kingston 3,Kingston,1 Tucker Avenue,25,3,-78.36661595,18.26627378,8/6/2017,110
Christar Villas Limit,Hotel,Kingston 5,Kingston,99a Hope Road,15,3,-78.33630812,18.32306646,1-Oct-17,
Knutsford Court Hotel,Hotel,Kingston 5,Kingston,16 Chelsea Avenue,30,3,-77.86343833,18.51327272,1-Jun-17,
Hotel Villa bella,Hotel,Christiana,Manchester,Sedburgh,25,2,-77.88215213,18.51416611,29-Jun-17,
